study_stage,stage_start,stage_end,sample_rank,repo_name,llm_native_manual,collaboration_niche,agent_proximity,item_type,number,html_url,outcome,created_at,closed_at,merged_at,author_login,author_association,opener_class,explicit_ai_assistance_disclosure,known_automation_bot_present,agent_participation_present,coding_agent_present,review_agent_present,support_or_security_agent_present,conventional_automation_present,agent_participation_opened_thread,agent_participation_response_present,agent_review_event_present,human_account_review_event_present,maintainer_account_review_event_present,agent_change_request_present,human_account_change_request_present,agent_gate_event_present,agent_visible_events,identity_candidate_present,human_account_present_any,human_account_present_in_conversation,maintainer_account_present,automation_only_visible_thread,response_only_automation,no_human_account_response,no_maintainer_account_response,visible_response_events,comments,reviews,changes_requested_reviews,review_observed,post_review_commit_observed,change_request_observed,change_request_followed_by_commit,conversation_actor_count,conversation_class_switches,first_visible_response_hours,first_human_account_response_hours,first_maintainer_account_response_hours,commits,commits_after_first_review,gate_actor_login,gate_actor_class,gate_actor_role,gate_actor_association,human_account_gate,maintainer_account_gate,agent_gate,external_author,fixed_maturity_eligible,resolution_days,sampling_weight
,,,2,NousResearch/hermes-agent,llm_native,agent_application,direct_agent_experience,pull_request,1,https://github.com/NousResearch/hermes-agent/pull/1,merged,2025-07-26T04:32:51Z,2025-07-26T14:13:34Z,2025-07-26T14:13:34Z,hjc-puro,CONTRIBUTOR,human_account,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,1,1,0,0,no,no,no,no,2,0,9.695,9.695,,6,0,teknium1,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,0.403,1.0
,,,2,NousResearch/hermes-agent,llm_native,agent_application,direct_agent_experience,pull_request,2,https://github.com/NousResearch/hermes-agent/pull/2,open,2025-08-31T18:18:39Z,,,hjc-puro,CONTRIBUTOR,human_account,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,unknown,yes,yes,0,0,0,0,no,no,no,no,1,0,,,,1,0,,,,,no,no,no,yes,yes,,1.0
,,,3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,issue,144196,https://github.com/pytorch/pytorch/issues/144196,closed,2025-01-04T18:17:11Z,2025-04-06T17:50:38Z,,randolf-scholz,CONTRIBUTOR,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,yes,no,no,no,no,4,7,0,0,no,no,no,no,4,0,60.298,60.298,92.573,0,0,pytorchmergebot,automation_service_account,conventional_automation,COLLABORATOR,no,yes,no,yes,yes,91.982,354.7
,,,3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,144237,https://github.com/pytorch/pytorch/pull/144237,closed,2025-01-06T07:41:32Z,2025-01-10T10:41:15Z,,fmo-mt,CONTRIBUTOR,human_account,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,0,no,yes,yes,yes,no,no,no,no,5,8,1,0,yes,yes,no,no,4,5,0.001,15.993,94.855,1,1,pytorchmergebot,automation_service_account,conventional_automation,COLLABORATOR,no,yes,no,yes,yes,4.125,354.7
,,,3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,144708,https://github.com/pytorch/pytorch/pull/144708,closed,2025-01-13T21:56:46Z,2025-03-10T19:03:06Z,,tianfengfrank,CONTRIBUTOR,human_account,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,0,yes,yes,yes,yes,no,no,no,no,9,9,2,0,yes,no,no,no,7,5,0.001,0.083,5.139,1,0,kwen2501,human_account,not_automation,COLLABORATOR,yes,yes,no,yes,yes,55.879,354.7
,,,3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,144794,https://github.com/pytorch/pytorch/pull/144794,closed,2025-01-14T19:55:35Z,2025-01-31T22:39:58Z,,fduwjj,COLLABORATOR,human_account,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,0,no,yes,yes,yes,no,no,no,no,34,53,7,0,yes,yes,no,no,7,3,0.001,55.774,55.774,9,7,pytorchmergebot,automation_service_account,conventional_automation,COLLABORATOR,no,yes,no,no,yes,17.114,354.7
,,,3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,145289,https://github.com/pytorch/pytorch/pull/145289,closed,2025-01-21T18:56:31Z,2025-01-22T01:00:56Z,,malfet,COLLABORATOR,human_account,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,0,no,yes,yes,yes,no,no,no,no,3,1,2,0,yes,no,no,no,4,2,0.001,2.977,2.991,4,0,pytorchmergebot,automation_service_account,conventional_automation,COLLABORATOR,no,yes,no,no,yes,0.253,354.7
,,,3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,145488,https://github.com/pytorch/pytorch/pull/145488,closed,2025-01-23T15:29:25Z,2025-01-24T19:08:16Z,,IvanKobzarev,CONTRIBUTOR,human_account,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,0,no,yes,yes,yes,no,no,no,no,4,3,2,0,yes,yes,no,no,5,4,0.001,6.025,6.025,3,1,pytorchmergebot,automation_service_account,conventional_automation,COLLABORATOR,no,yes,no,yes,yes,1.152,354.7
,,,3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,145854,https://github.com/pytorch/pytorch/pull/145854,closed,2025-01-28T17:16:51Z,2025-05-06T02:11:53Z,,samnordmann,CONTRIBUTOR,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,3,3,0,0,no,no,no,no,4,3,0.001,176.443,,2,0,github-actions[bot],automation_bot,conventional_automation,CONTRIBUTOR,no,no,no,yes,yes,97.372,354.7
,,,3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,146053,https://github.com/pytorch/pytorch/pull/146053,closed,2025-01-30T18:11:08Z,2025-02-06T00:50:01Z,,mori360,CONTRIBUTOR,human_account,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,0,no,yes,yes,no,no,no,no,yes,7,7,2,1,yes,no,yes,no,3,2,0.002,147.371,,0,0,mori360,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,6.277,354.7
