sample_rank,repo_name,snapshot_date,year,created_at,llm_native_manual,collaboration_niche,agent_proximity,history_available,scan_status,error,default_branch,commit_sha,commit_date,tree_sha,tree_entries,tree_truncated,active_instruction_count,active_config_count,residual_mention_count,has_active_instruction,has_any_active_marker,distinct_active_tools,distinct_residual_tools
1,openclaw/openclaw,2022-12-31,2022,2025-11-24,llm_native,agent_application,direct_agent_experience,not_public_yet,structural_missing,,,,,,,,,,,,,,
1,openclaw/openclaw,2023-12-31,2023,2025-11-24,llm_native,agent_application,direct_agent_experience,not_public_yet,structural_missing,,,,,,,,,,,,,,
1,openclaw/openclaw,2024-12-31,2024,2025-11-24,llm_native,agent_application,direct_agent_experience,not_public_yet,structural_missing,,,,,,,,,,,,,,
1,openclaw/openclaw,2025-12-31,2025,2025-11-24,llm_native,agent_application,direct_agent_experience,yes,targeted_paths_ok,,main,7baaca4a7622385dc306cffeea1fd181aee1bd1c,2025-12-31T21:39:42Z,,,not_applicable_targeted_scan,2,0,0,yes,yes,claude_code|cross_agent,
1,openclaw/openclaw,2026-08-31,2026,2025-11-24,llm_native,agent_application,direct_agent_experience,yes,targeted_paths_ok,,main,1c526e6376b1629115fe1549b59ea100fc7f7031,2026-08-31T23:57:45Z,,,not_applicable_targeted_scan,3,2,1,yes,yes,claude_code|codex|cross_agent|github_copilot,claude_code
2,NousResearch/hermes-agent,2022-12-31,2022,2025-07-22,llm_native,agent_application,direct_agent_experience,not_public_yet,structural_missing,,,,,,,,,,,,,,
2,NousResearch/hermes-agent,2023-12-31,2023,2025-07-22,llm_native,agent_application,direct_agent_experience,not_public_yet,structural_missing,,,,,,,,,,,,,,
2,NousResearch/hermes-agent,2024-12-31,2024,2025-07-22,llm_native,agent_application,direct_agent_experience,not_public_yet,structural_missing,,,,,,,,,,,,,,
2,NousResearch/hermes-agent,2025-12-31,2025,2025-07-22,llm_native,agent_application,direct_agent_experience,yes,targeted_paths_ok,,main,30ca2825942f8e810af1c80b541d9f969d811d66,2025-11-22T10:26:01Z,,,not_applicable_targeted_scan,1,0,0,yes,yes,cursor,
2,NousResearch/hermes-agent,2026-08-31,2026,2025-07-22,llm_native,agent_application,direct_agent_experience,yes,targeted_paths_ok,,main,b20cc5f787ea816ea8645603b7b2ac8234dcb8b4,2026-08-31T22:18:40Z,,,not_applicable_targeted_scan,1,0,4,yes,yes,codex,codex|cursor|gemini|roo_code
3,pytorch/pytorch,2022-12-31,2022,2016-08-13,traditional,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,39d49dbe4546c9f4d153ec748f62371e4546158a,2022-12-31T23:04:57Z,,,not_applicable_targeted_scan,0,0,1,no,no,,roo_code
3,pytorch/pytorch,2023-12-31,2023,2016-08-13,traditional,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,127812efee61768f5660cb10034d96810ac6d960,2023-12-31T20:24:40Z,,,not_applicable_targeted_scan,0,0,1,no,no,,roo_code
3,pytorch/pytorch,2024-12-31,2024,2016-08-13,traditional,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,8d9ff9c8a414c66809a2be63870a8f1c7ab7ea09,2024-12-31T23:45:32Z,,,not_applicable_targeted_scan,0,0,1,no,no,,roo_code
3,pytorch/pytorch,2025-12-31,2025,2016-08-13,traditional,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,452abac61caf41209049e2e49901a5ed60f4cb89,2025-12-31T23:52:03Z,,,not_applicable_targeted_scan,3,1,2,yes,yes,claude_code|cross_agent|github_copilot,claude_code|roo_code
3,pytorch/pytorch,2026-08-31,2026,2016-08-13,traditional,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,67458862b5b9c620e8828d03366f45178fc42648,2026-08-31T23:48:05Z,,,not_applicable_targeted_scan,3,1,2,yes,yes,claude_code|cross_agent|github_copilot,claude_code|roo_code
4,supabase/supabase,2022-12-31,2022,2019-10-12,traditional,agent_runtime_infra,supporting_infrastructure,yes,targeted_paths_ok,,master,42ad83d7429d3b2467a80cc5ce3a1e80a1cc9cde,2022-12-31T21:38:49Z,,,not_applicable_targeted_scan,0,0,0,no,no,,
4,supabase/supabase,2023-12-31,2023,2019-10-12,traditional,agent_runtime_infra,supporting_infrastructure,yes,targeted_paths_ok,,master,8e4a094f2639202c725d27409d6585e7026b1d6e,2023-12-28T20:22:38Z,,,not_applicable_targeted_scan,0,0,0,no,no,,
4,supabase/supabase,2024-12-31,2024,2019-10-12,traditional,agent_runtime_infra,supporting_infrastructure,yes,targeted_paths_ok,,master,daa469b96bd91d077a1373bd89a924068acfd7d1,2024-12-31T15:00:19Z,,,not_applicable_targeted_scan,0,0,0,no,no,,
4,supabase/supabase,2025-12-31,2025,2019-10-12,traditional,agent_runtime_infra,supporting_infrastructure,yes,targeted_paths_ok,,master,0500c21b37cc11b6b6140dde9827f89fb7d3097d,2025-12-31T17:45:14Z,,,not_applicable_targeted_scan,1,1,1,yes,yes,cursor,claude_code
4,supabase/supabase,2026-08-31,2026,2019-10-12,traditional,agent_runtime_infra,supporting_infrastructure,yes,targeted_paths_ok,,master,eea39cc3163b34627cfec31a6756b80280874f41,2026-08-31T19:28:37Z,,,not_applicable_targeted_scan,3,3,1,yes,yes,claude_code|cross_agent|cursor|github_copilot,claude_code
5,bytedance/deer-flow,2022-12-31,2022,2025-05-07,llm_native,agent_framework,agent_building,not_public_yet,structural_missing,,,,,,,,,,,,,,
5,bytedance/deer-flow,2023-12-31,2023,2025-05-07,llm_native,agent_framework,agent_building,not_public_yet,structural_missing,,,,,,,,,,,,,,
5,bytedance/deer-flow,2024-12-31,2024,2025-05-07,llm_native,agent_framework,agent_building,not_public_yet,structural_missing,,,,,,,,,,,,,,
5,bytedance/deer-flow,2025-12-31,2025,2025-05-07,llm_native,agent_framework,agent_building,yes,targeted_paths_ok,,main,a71b6bc41fd80667381a9a790ecdcc99197c29cf,2025-12-30T02:41:29Z,,,not_applicable_targeted_scan,1,0,0,yes,yes,github_copilot,
5,bytedance/deer-flow,2026-08-31,2026,2025-05-07,llm_native,agent_framework,agent_building,yes,targeted_paths_ok,,main,530b4cf6a009970589bdf44a78effc2b9e5ba053,2026-08-31T15:40:08Z,,,not_applicable_targeted_scan,3,1,1,yes,yes,claude_code|codex|cross_agent|github_copilot,claude_code
6,sgl-project/sglang,2022-12-31,2022,2024-01-08,llm_native,model_infra,supporting_infrastructure,not_public_yet,structural_missing,,,,,,,,,,,,,,
6,sgl-project/sglang,2023-12-31,2023,2024-01-08,llm_native,model_infra,supporting_infrastructure,not_public_yet,structural_missing,,,,,,,,,,,,,,
6,sgl-project/sglang,2024-12-31,2024,2024-01-08,llm_native,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,0d8d97b8e6d7b3f35c2c2bce9508bdd5dd83cc9b,2024-12-31T22:35:48Z,,,not_applicable_targeted_scan,0,0,0,no,no,,
6,sgl-project/sglang,2025-12-31,2025,2024-01-08,llm_native,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,12b89e51d8d9a35c1a1b27f51d6d45256063e877,2025-12-31T23:40:33Z,,,not_applicable_targeted_scan,0,0,1,no,no,,claude_code
6,sgl-project/sglang,2026-08-31,2026,2024-01-08,llm_native,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,455232de6e739db4f11b515af2dd6f5ba0274b56,2026-08-31T23:43:54Z,,,not_applicable_targeted_scan,0,1,1,no,yes,claude_code,claude_code
7,vllm-project/vllm,2022-12-31,2022,2023-02-09,llm_native,model_infra,supporting_infrastructure,not_public_yet,structural_missing,,,,,,,,,,,,,,
