sample_rank,repo_name,llm_native_manual,collaboration_niche,agent_proximity,item_type,number,node_id,html_url,state,outcome,created_at,updated_at,closed_at,merged_at,author_login,author_github_type,author_association,author_initial_class,performed_via_github_app,ai_disclosure_candidate,ai_disclosure_evidence,comments_count,labels,population_items,selected_items,inclusion_probability,sampling_weight,frame_min_number,frame_max_number,sampling_seed,sampling_method,collected_at
1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,issue,19120,I_kwDOQb6kR87rlQv1,https://github.com/openclaw/openclaw/issues/19120,closed,closed,2026-02-17T11:56:01Z,2026-04-01T04:21:59Z,2026-03-30T04:20:21Z,,kasparkastl,User,NONE,human_account,,no,,6,stale,131938,50,,1,67,131967,260829,uniform_issue_number_rejection_sample,2026-08-28T17:29:36.734805+00:00
1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,95319,PR_kwDOQb6kR87oqjzN,https://github.com/openclaw/openclaw/pull/95319,closed,closed_unmerged,2026-06-20T12:04:19Z,2026-06-24T09:09:57Z,2026-06-24T08:56:53Z,,ly-wang19,User,CONTRIBUTOR,human_account,,no,,3,P2|commands|merge-risk: 🚨 session-state|proof: sufficient|rating: 🧂 unranked krab|size: S|status: ⏳ waiting on author,131938,50,,1,67,131967,260829,uniform_issue_number_rejection_sample,2026-08-28T17:29:36.734805+00:00
1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,issue,54185,I_kwDOQb6kR872SW-z,https://github.com/openclaw/openclaw/issues/54185,closed,closed,2026-03-25T02:53:25Z,2026-03-31T04:16:18Z,2026-03-28T04:34:39Z,,celagoor,User,NONE,human_account,,no,,1,,131938,50,,1,67,131967,260829,uniform_issue_number_rejection_sample,2026-08-28T17:29:36.734805+00:00
1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,issue,95052,I_kwDOQb6kR88AAAABGEtMYQ,https://github.com/openclaw/openclaw/issues/95052,closed,closed,2026-06-19T17:37:21Z,2026-06-25T05:08:39Z,2026-06-19T17:44:41Z,,YvesLaRose,User,NONE,human_account,,no,,1,P1|impact:auth-provider|impact:message-loss|impact:session-state,131938,50,,1,67,131967,260829,uniform_issue_number_rejection_sample,2026-08-28T17:29:36.734805+00:00
1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,issue,1516,I_kwDOQb6kR87lV7SD,https://github.com/openclaw/openclaw/issues/1516,closed,closed,2026-01-23T14:37:02Z,2026-03-08T04:14:05Z,2026-01-24T11:04:38Z,,cash-echo-bot,User,CONTRIBUTOR,human_account,,no,,6,bug,131938,50,,1,67,131967,260829,uniform_issue_number_rejection_sample,2026-08-28T17:29:36.734805+00:00
1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,issue,64143,I_kwDOQb6kR878jZ7p,https://github.com/openclaw/openclaw/issues/64143,closed,closed,2026-04-10T06:39:55Z,2026-04-13T04:28:35Z,2026-04-10T06:41:50Z,,atticusfawler,User,NONE,human_account,,no,,1,,131938,50,,1,67,131967,260829,uniform_issue_number_rejection_sample,2026-08-28T17:29:36.734805+00:00
1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,99814,PR_kwDOQb6kR87tyygf,https://github.com/openclaw/openclaw/pull/99814,closed,closed_unmerged,2026-07-04T04:34:46Z,2026-07-04T04:42:05Z,2026-07-04T04:42:05Z,,chenyangjun-xy,User,CONTRIBUTOR,human_account,,no,,2,P1|merge-risk: 🚨 availability|rating: 🧂 unranked krab|scripts|size: M|status: 📣 needs proof,131938,50,,1,67,131967,260829,uniform_issue_number_rejection_sample,2026-08-28T17:29:36.734805+00:00
1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,21380,PR_kwDOQb6kR87FAoRr,https://github.com/openclaw/openclaw/pull/21380,closed,closed_unmerged,2026-02-19T22:44:00Z,2026-02-20T21:52:01Z,2026-02-20T21:52:01Z,,adhitShet,User,CONTRIBUTOR,human_account,,no,,5,size: XS,131938,50,,1,67,131967,260829,uniform_issue_number_rejection_sample,2026-08-28T17:29:36.734805+00:00
1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,issue,56180,I_kwDOQb6kR873z9vL,https://github.com/openclaw/openclaw/issues/56180,closed,closed,2026-03-28T04:52:09Z,2026-03-31T04:16:13Z,2026-03-28T04:56:01Z,,scatteringiris,User,NONE,human_account,,no,,1,,131938,50,,1,67,131967,260829,uniform_issue_number_rejection_sample,2026-08-28T17:29:36.734805+00:00
1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,93028,PR_kwDOQb6kR87mRnMl,https://github.com/openclaw/openclaw/pull/93028,closed,closed_unmerged,2026-06-14T17:00:03Z,2026-07-29T04:31:35Z,2026-07-29T04:31:35Z,,llljjjwww333,User,CONTRIBUTOR,human_account,chatgpt-codex-connector,no,,5,P2|cli|docs|merge-risk: 🚨 availability|rating: 🧂 unranked krab|size: M|stale|status: 📣 needs proof|triage: needs-pr-context|triage: needs-real-behavior-proof,131938,50,,1,67,131967,260829,uniform_issue_number_rejection_sample,2026-08-28T17:29:36.734805+00:00
