sample_rank,repo_name,snapshot_date,year,llm_native_manual,collaboration_niche,commit_sha,marker_tool,evidence_level,marker_path,blob_sha,size_bytes,tasks,content_read
1,openclaw/openclaw,2026-05-31,2026,llm_native,agent_application,2fc5072021a2bdce8c3e46a98e18b42fa3373624,codex,active_instruction,AGENTS.md,3309487f3084f2b3792cc35c01ce8892a70ad1a1,35679,implementation|tests_validation|documentation|code_review|issue_planning|release_dependency|security_compliance|repository_context,yes
1,openclaw/openclaw,2026-05-31,2026,llm_native,agent_application,2fc5072021a2bdce8c3e46a98e18b42fa3373624,claude_code,active_instruction,CLAUDE.md,47dc3e3d863cfb5727b87d785d09abf9743c0a72,9,,yes
1,openclaw/openclaw,2026-05-31,2026,llm_native,agent_application,2fc5072021a2bdce8c3e46a98e18b42fa3373624,github_copilot,active_instruction,.github/instructions,61828daab9349d919d69d002cebc67df5850c23d,,,no
1,openclaw/openclaw,2026-05-31,2026,llm_native,agent_application,2fc5072021a2bdce8c3e46a98e18b42fa3373624,cross_agent,active_config,.agents,cce3412da71fc91cde4ead5430b473998abf6d9f,,,no
1,openclaw/openclaw,2026-05-31,2026,llm_native,agent_application,2fc5072021a2bdce8c3e46a98e18b42fa3373624,claude_code,residual_gitignore,.gitignore,5f5a3d35eaa17fdde5a0a5cf00cfddfe0d86601b,6288,,yes
1,openclaw/openclaw,2026-08-31,2026,llm_native,agent_application,1c526e6376b1629115fe1549b59ea100fc7f7031,codex,active_instruction,AGENTS.md,22e5b0436e7c77f0e7a47075716cbe367d0ae9d4,65741,implementation|tests_validation|documentation|code_review|issue_planning|release_dependency|security_compliance|repository_context,yes
1,openclaw/openclaw,2026-08-31,2026,llm_native,agent_application,1c526e6376b1629115fe1549b59ea100fc7f7031,claude_code,active_instruction,CLAUDE.md,47dc3e3d863cfb5727b87d785d09abf9743c0a72,9,,yes
1,openclaw/openclaw,2026-08-31,2026,llm_native,agent_application,1c526e6376b1629115fe1549b59ea100fc7f7031,github_copilot,active_instruction,.github/instructions,7213f418292f32a5a50a6fa775a1764884660935,,,no
1,openclaw/openclaw,2026-08-31,2026,llm_native,agent_application,1c526e6376b1629115fe1549b59ea100fc7f7031,cross_agent,active_config,.agents,e8f8ab150c7bb835e7fe9d70974b84446741e839,,,no
1,openclaw/openclaw,2026-08-31,2026,llm_native,agent_application,1c526e6376b1629115fe1549b59ea100fc7f7031,claude_code,active_config,.claude,670d09ed99ed6a12fe0e3cb607af86664d9a5dc4,,,no
1,openclaw/openclaw,2026-08-31,2026,llm_native,agent_application,1c526e6376b1629115fe1549b59ea100fc7f7031,claude_code,residual_gitignore,.gitignore,033eb7367610a1a8ba46f0cdeb0fc78e6f3f1c1c,5555,,yes
2,NousResearch/hermes-agent,2026-05-31,2026,llm_native,agent_application,77bb64813cb987ad80236219a20c6cb549b40049,codex,active_instruction,AGENTS.md,6c0036efd5a65d10e7e26320a1805fb06ad0f68a,54502,implementation|tests_validation|documentation|code_review|issue_planning|release_dependency|security_compliance|repository_context,yes
2,NousResearch/hermes-agent,2026-05-31,2026,llm_native,agent_application,77bb64813cb987ad80236219a20c6cb549b40049,codex,residual_gitignore,.gitignore,ee1cb15f4495d0160be1592de5d663b4042fd9dc,2416,,yes
2,NousResearch/hermes-agent,2026-05-31,2026,llm_native,agent_application,77bb64813cb987ad80236219a20c6cb549b40049,cursor,residual_gitignore,.gitignore,ee1cb15f4495d0160be1592de5d663b4042fd9dc,2416,,yes
2,NousResearch/hermes-agent,2026-05-31,2026,llm_native,agent_application,77bb64813cb987ad80236219a20c6cb549b40049,gemini,residual_gitignore,.gitignore,ee1cb15f4495d0160be1592de5d663b4042fd9dc,2416,,yes
2,NousResearch/hermes-agent,2026-08-31,2026,llm_native,agent_application,b20cc5f787ea816ea8645603b7b2ac8234dcb8b4,codex,active_instruction,AGENTS.md,e140522e964a4736efbcc12727a7eff8683dffea,95906,implementation|tests_validation|documentation|code_review|issue_planning|release_dependency|security_compliance|repository_context,yes
2,NousResearch/hermes-agent,2026-08-31,2026,llm_native,agent_application,b20cc5f787ea816ea8645603b7b2ac8234dcb8b4,codex,residual_gitignore,.gitignore,f1d51492aa7d7f11ba4ea9f86c3e7cbb40c6e1b1,6847,,yes
2,NousResearch/hermes-agent,2026-08-31,2026,llm_native,agent_application,b20cc5f787ea816ea8645603b7b2ac8234dcb8b4,cursor,residual_gitignore,.gitignore,f1d51492aa7d7f11ba4ea9f86c3e7cbb40c6e1b1,6847,,yes
2,NousResearch/hermes-agent,2026-08-31,2026,llm_native,agent_application,b20cc5f787ea816ea8645603b7b2ac8234dcb8b4,gemini,residual_gitignore,.gitignore,f1d51492aa7d7f11ba4ea9f86c3e7cbb40c6e1b1,6847,,yes
2,NousResearch/hermes-agent,2026-08-31,2026,llm_native,agent_application,b20cc5f787ea816ea8645603b7b2ac8234dcb8b4,roo_code,residual_gitignore,.gitignore,f1d51492aa7d7f11ba4ea9f86c3e7cbb40c6e1b1,6847,,yes
3,pytorch/pytorch,2026-05-31,2026,traditional,model_infra,5cd392bfe432d57e7beb9ab67037ddc0fcc01205,cross_agent,active_instruction,AGENTS.md,681311eb9cf453d0faddf3aacaec7357e97ba8e9,9,,yes
