sample_rank,repo_name,snapshot_date,year,created_at,llm_native_manual,collaboration_niche,agent_proximity,history_available,scan_status,error,default_branch,commit_sha,commit_date,tree_sha,tree_entries,tree_truncated,active_instruction_count,active_config_count,residual_mention_count,has_active_instruction,has_any_active_marker,distinct_active_tools,distinct_residual_tools
1,openclaw/openclaw,2026-05-31,2026,2025-11-24,llm_native,agent_application,direct_agent_experience,yes,targeted_paths_ok,,main,2fc5072021a2bdce8c3e46a98e18b42fa3373624,2026-05-31T23:53:35Z,,,not_applicable_targeted_scan,3,1,1,yes,yes,claude_code|codex|cross_agent|github_copilot,claude_code
1,openclaw/openclaw,2026-08-29,2026,2025-11-24,llm_native,agent_application,direct_agent_experience,yes,targeted_paths_ok,,main,0313c2dbc4234df6801626c6441a731dc5de5a19,2026-08-28T17:04:30Z,,,not_applicable_targeted_scan,3,2,1,yes,yes,claude_code|codex|cross_agent|github_copilot,claude_code
2,NousResearch/hermes-agent,2026-05-31,2026,2025-07-22,llm_native,agent_application,direct_agent_experience,yes,targeted_paths_ok,,main,77bb64813cb987ad80236219a20c6cb549b40049,2026-05-31T23:23:10Z,,,not_applicable_targeted_scan,1,0,3,yes,yes,codex,codex|cursor|gemini
2,NousResearch/hermes-agent,2026-08-29,2026,2025-07-22,llm_native,agent_application,direct_agent_experience,yes,targeted_paths_ok,,main,baa344dee76993f0444c18fc59a69738ccb339d0,2026-08-28T16:23:00Z,,,not_applicable_targeted_scan,1,0,4,yes,yes,codex,codex|cursor|gemini|roo_code
3,pytorch/pytorch,2026-05-31,2026,2016-08-13,traditional,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,5cd392bfe432d57e7beb9ab67037ddc0fcc01205,2026-05-31T22:10:53Z,,,not_applicable_targeted_scan,3,1,2,yes,yes,claude_code|cross_agent|github_copilot,claude_code|roo_code
3,pytorch/pytorch,2026-08-29,2026,2016-08-13,traditional,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,6a211a90dcfc8ae369f5a100eb2970af6dcdf148,2026-08-28T16:38:33Z,,,not_applicable_targeted_scan,3,1,2,yes,yes,claude_code|cross_agent|github_copilot,claude_code|roo_code
4,supabase/supabase,2026-05-31,2026,2019-10-12,traditional,agent_runtime_infra,supporting_infrastructure,yes,targeted_paths_ok,,master,a4334a2cc75b85e3c569e24c9e33be94b37064d7,2026-05-29T19:12:22Z,,,not_applicable_targeted_scan,3,3,1,yes,yes,claude_code|cross_agent|cursor|github_copilot,claude_code
4,supabase/supabase,2026-08-29,2026,2019-10-12,traditional,agent_runtime_infra,supporting_infrastructure,yes,targeted_paths_ok,,master,86c813ec03e340ffbe4aeb97cd0c5bee7a0ead94,2026-08-28T16:12:04Z,,,not_applicable_targeted_scan,3,3,1,yes,yes,claude_code|cross_agent|cursor|github_copilot,claude_code
5,bytedance/deer-flow,2026-05-31,2026,2025-05-07,llm_native,agent_framework,agent_building,yes,targeted_paths_ok,,main,d6a604d5a144c47bb4aa9603340cf1ee4c5619ed,2026-05-31T23:28:13Z,,,not_applicable_targeted_scan,1,1,1,yes,yes,cross_agent|github_copilot,claude_code
5,bytedance/deer-flow,2026-08-29,2026,2025-05-07,llm_native,agent_framework,agent_building,yes,targeted_paths_ok,,main,bf3e792a6a390e1c437b865f8b2a41c631e5c745,2026-08-28T14:24:10Z,,,not_applicable_targeted_scan,3,1,1,yes,yes,claude_code|codex|cross_agent|github_copilot,claude_code
6,sgl-project/sglang,2026-05-31,2026,2024-01-08,llm_native,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,373cadc92ea421710e32c395e8c0e931f000c707,2026-05-31T22:15:38Z,,,not_applicable_targeted_scan,0,1,1,no,yes,claude_code,claude_code
6,sgl-project/sglang,2026-08-29,2026,2024-01-08,llm_native,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,8e04f66a7046fa083cda3f5b8e8325632a5af8fd,2026-08-28T16:52:53Z,,,not_applicable_targeted_scan,0,1,1,no,yes,claude_code,claude_code
7,vllm-project/vllm,2026-05-31,2026,2023-02-09,llm_native,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,8b8546da1c3ba65097357523bc24199e36eddf65,2026-05-31T19:28:38Z,,,not_applicable_targeted_scan,2,1,3,yes,yes,claude_code|cross_agent|gemini,claude_code|codex|cursor
7,vllm-project/vllm,2026-08-29,2026,2023-02-09,llm_native,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,06569a8696076eeae9558928b00f035ded8f8b60,2026-08-28T16:23:07Z,,,not_applicable_targeted_scan,2,3,3,yes,yes,claude_code|cross_agent|gemini,claude_code|codex|cursor
8,larksuite/cli,2026-05-31,2026,2026-03-25,mixed,agent_runtime_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,99e314fe0bb177810f3e8bef81e957136bd7bb14,2026-05-30T11:08:41Z,,,not_applicable_targeted_scan,1,0,0,yes,yes,cross_agent,
8,larksuite/cli,2026-08-29,2026,2026-03-25,mixed,agent_runtime_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,6646386e0996b1ff5df640bccff834a20bcb203b,2026-08-28T10:47:32Z,,,not_applicable_targeted_scan,1,0,0,yes,yes,cross_agent,
9,volcengine/OpenViking,2026-05-31,2026,2026-01-05,llm_native,agent_runtime_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,05540114dff249cecdfdbd72bb80b3d41f9d2c4e,2026-05-31T10:48:54Z,,,not_applicable_targeted_scan,0,0,3,no,no,,claude_code|codex|roo_code
9,volcengine/OpenViking,2026-08-29,2026,2026-01-05,llm_native,agent_runtime_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,cd8580c6f8a50ec44593618b3102799ab0b553fd,2026-08-28T15:49:43Z,,,not_applicable_targeted_scan,0,1,3,no,yes,cross_agent,claude_code|codex|roo_code
10,openai/codex,2026-05-31,2026,2025-04-13,llm_native,agent_application,direct_agent_experience,yes,targeted_paths_ok,,main,3b7334d099b339e7b18418a0cf7ac34e7bed2e43,2026-05-31T23:05:33Z,,,not_applicable_targeted_scan,1,1,2,yes,yes,codex,claude_code|codex
10,openai/codex,2026-08-29,2026,2025-04-13,llm_native,agent_application,direct_agent_experience,yes,targeted_paths_ok,,main,7e41be641ed1133711e4f75b2e142de7affaff7a,2026-08-28T16:58:01Z,,,not_applicable_targeted_scan,1,1,2,yes,yes,codex,claude_code|codex
11,ollama/ollama,2026-05-31,2026,2023-06-26,llm_native,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,e7766a4a472ff100e589fb35fd2ed8a64be69d05,2026-05-31T21:11:07Z,,,not_applicable_targeted_scan,0,0,0,no,no,,
11,ollama/ollama,2026-08-29,2026,2023-06-26,llm_native,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,f96e7aa0513b9973a0ccc71be414c2ecb9d65b1a,2026-08-28T00:01:54Z,,,not_applicable_targeted_scan,2,0,0,yes,yes,claude_code|cross_agent,
12,langchain-ai/deepagents,2026-05-31,2026,2025-07-27,llm_native,agent_framework,agent_building,yes,targeted_paths_ok,,main,1906af985906369b6ab5bfbee039c9dabc1dd840,2026-05-30T13:50:03Z,,,not_applicable_targeted_scan,1,0,2,yes,yes,cross_agent,claude_code|cursor
12,langchain-ai/deepagents,2026-08-29,2026,2025-07-27,llm_native,agent_framework,agent_building,yes,targeted_paths_ok,,main,f90d4fe114efe1de1e3d8dd8e5aee5b9f631093d,2026-08-28T14:50:47Z,,,not_applicable_targeted_scan,1,1,2,yes,yes,cross_agent,claude_code|cursor
13,anomalyco/opencode,2026-05-31,2026,2025-04-30,llm_native,agent_application,direct_agent_experience,yes,targeted_paths_ok,,dev,c57379833e3f25967c03653482fc3131b3068c04,2026-05-31T19:20:55Z,,,not_applicable_targeted_scan,1,0,1,yes,yes,cross_agent,codex
13,anomalyco/opencode,2026-08-29,2026,2025-04-30,llm_native,agent_application,direct_agent_experience,yes,targeted_paths_ok,,dev,df35e842f59bc115bb7c0479a8e11f017d443f2c,2026-08-28T12:04:58Z,,,not_applicable_targeted_scan,1,0,1,yes,yes,cross_agent,codex
14,flashinfer-ai/flashinfer,2026-05-31,2026,2023-07-22,llm_native,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,fc12ef21d9eddcd9a7b1a4a8024fb3e81fda804d,2026-05-30T04:43:58Z,,,not_applicable_targeted_scan,2,1,1,yes,yes,claude_code|cross_agent,cursor
14,flashinfer-ai/flashinfer,2026-08-29,2026,2023-07-22,llm_native,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,8b118e7539668b773f2e0c266892d22dc0d02087,2026-08-28T16:55:25Z,,,not_applicable_targeted_scan,2,1,1,yes,yes,claude_code|cross_agent,cursor
15,NVIDIA/TensorRT-LLM,2026-05-31,2026,2023-08-16,llm_native,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,54259ed5d2322cd6086fbd878bc0ab0f3edbf5f0,2026-05-31T23:07:00Z,,,not_applicable_targeted_scan,2,2,3,yes,yes,claude_code|codex|cross_agent,claude_code|cursor|roo_code
15,NVIDIA/TensorRT-LLM,2026-08-29,2026,2023-08-16,llm_native,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,a662631a313424fed8cfb1bf80494b63c15ad4ca,2026-08-28T16:28:25Z,,,not_applicable_targeted_scan,2,2,3,yes,yes,claude_code|codex|cross_agent,claude_code|cursor|roo_code
16,anthropics/claude-code,2026-05-31,2026,2025-02-22,llm_native,agent_application,direct_agent_experience,yes,targeted_paths_ok,,main,8bae02d5319c619f84f51476188e5b28b2e5816b,2026-05-31T19:42:42Z,,,not_applicable_targeted_scan,0,1,0,no,yes,claude_code,
16,anthropics/claude-code,2026-08-29,2026,2025-02-22,llm_native,agent_application,direct_agent_experience,yes,targeted_paths_ok,,main,92bb6850f1bb51f4d18b03b23d643642f9d687b6,2026-08-28T00:49:10Z,,,not_applicable_targeted_scan,0,1,0,no,yes,claude_code,
17,jax-ml/jax,2026-05-31,2026,2018-10-25,traditional,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,58d4bf8194fbe2efe7da845cf5192d7e70f58de2,2026-05-31T08:05:56Z,,,not_applicable_targeted_scan,0,0,0,no,no,,
17,jax-ml/jax,2026-08-29,2026,2018-10-25,traditional,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,1214954d0731cfde1cb7bcb2670d3abc07bb5a42,2026-08-28T17:02:16Z,,,not_applicable_targeted_scan,0,0,0,no,no,,
18,ai-dynamo/dynamo,2026-05-31,2026,2025-03-03,llm_native,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,8ea44f3ab09dbe28a18fbc7d79bf562d36af2c8b,2026-05-31T06:23:18Z,,,not_applicable_targeted_scan,0,2,2,no,yes,claude_code|cross_agent,claude_code|cursor
