scope_type,scope_value,threads,estimated_population_weight,explicit_ai_assistance_disclosure_share_weighted,known_automation_bot_present_share_weighted,known_automation_bot_present_share_macro_repository,agent_participation_present_share_weighted,agent_participation_present_share_macro_repository,agent_participation_opened_thread_share_weighted,agent_participation_response_present_share_weighted,agent_review_event_present_share_pr_weighted,human_account_review_event_present_share_pr_weighted,maintainer_account_review_event_present_share_pr_weighted,agent_change_request_present_share_change_requested_pr_weighted,agent_change_requested_pr_followup_commit_share_weighted,human_change_requested_pr_followup_commit_share_weighted,human_account_gate_share_resolved_with_visible_gate_weighted,maintainer_account_gate_share_resolved_with_visible_gate_weighted,agent_gate_share_resolved_with_visible_gate_weighted,agent_gate_event_present_share_weighted,conventional_automation_present_share_weighted,human_account_present_any_share_weighted,human_account_response_share_weighted,human_account_response_share_macro_repository,maintainer_account_response_share_weighted,maintainer_account_response_share_macro_repository,automation_only_visible_thread_share_weighted,automation_only_visible_thread_share_macro_repository,response_only_automation_share_weighted,response_only_automation_share_macro_repository,external_pr_author_share_weighted,external_pr_author_share_macro_repository,open_share_fixed_maturity_weighted,open_share_fixed_maturity_macro_repository,github_merge_flag_share_resolved_pr_fixed_maturity_weighted,github_merge_flag_share_resolved_pr_fixed_maturity_macro_repository,external_pr_github_merge_flag_share_resolved_fixed_maturity_weighted,internal_pr_github_merge_flag_share_resolved_fixed_maturity_weighted,pr_review_observed_share_weighted,reviewed_pr_post_review_commit_share_weighted,change_requested_pr_followup_commit_share_weighted,median_first_human_account_response_hours,median_first_maintainer_account_response_hours,median_resolution_days_closed_items,median_reviews_pr,median_changes_requested_pr
overall,all,5000,5000.0,0.0044,0.7992,0.7992,0.4316,0.4316,0.0174,0.3828,0.3762,0.5408,0.3513,0.1056,0.7647,0.7737,0.8848,0.5234,0.0193,0.0162,0.6464,0.9924,0.5996,0.5996,0.3862,0.3862,0.0056,0.0056,0.2772,0.2715,0.6675,0.6787,0.1047,0.1043,0.6575,0.6476,0.5719,0.8282,0.7068,0.5494,0.764,9.3,10.96,1.0,1.0,0.0
item_type,issue,1433,1433.0,0.0035,0.6015,0.5827,0.1912,0.1899,0.0133,0.1165,,,,,,,0.8333,0.5071,0.0414,0.0293,0.4731,0.9979,0.545,0.5345,0.3133,0.2959,0.0014,0.0039,0.2267,0.1842,,,0.198,0.2183,,,,,,,,16.67,19.45,3.67,,
item_type,pull_request,3567,3567.0,0.0048,0.8786,0.8706,0.5282,0.5224,0.0191,0.4898,0.3762,0.5408,0.3513,0.1056,0.7647,0.7737,0.9013,0.5286,0.0123,0.0109,0.716,0.9902,0.6215,0.6076,0.4155,0.4178,0.0073,0.0065,0.2935,0.3007,0.6675,0.6787,0.0659,0.0759,0.6575,0.6476,0.5719,0.8282,0.7068,0.5494,0.764,6.66,8.55,0.79,1.0,0.0
project_identity,llm_native,3400,3400.0,0.0056,0.7826,0.7826,0.4444,0.4444,0.0188,0.3903,0.4064,0.4778,0.3474,0.0619,1.0,0.7882,0.9008,0.5748,0.0262,0.0221,0.6109,0.9953,0.5665,0.5665,0.4029,0.4029,0.0035,0.0035,0.3165,0.3085,0.6436,0.6584,0.0998,0.0981,0.6478,0.6354,0.5285,0.8613,0.6763,0.5621,0.7938,9.2,10.11,0.92,1.0,0.0
project_identity,mixed,700,700.0,0.0043,0.88,0.88,0.5629,0.5629,0.0286,0.5014,0.4402,0.6042,0.3919,0.3684,0.5714,0.6154,0.9345,0.5534,0.0103,0.0086,0.7686,0.98,0.6414,0.6414,0.3886,0.3886,0.0115,0.0116,0.2615,0.2628,0.6255,0.6609,0.1148,0.1247,0.685,0.7041,0.5928,0.8302,0.7587,0.5471,0.5789,7.79,12.7,0.92,1.0,0.0
project_identity,traditional,900,900.0,0.0,0.7989,0.7989,0.2811,0.2811,0.0033,0.2622,0.2342,0.697,0.3347,0.0889,0.75,0.7949,0.784,0.3026,0.0,0.0,0.6856,0.9911,0.6922,0.6922,0.3211,0.3211,0.0089,0.0089,0.1371,0.1387,0.7741,0.7691,0.114,0.1115,0.6667,0.6484,0.6624,0.6809,0.7672,0.5153,0.7778,10.77,15.69,1.66,1.0,0.0
collaboration_niche,agent_application,1400,1400.0,0.0071,0.7686,0.7686,0.3907,0.3907,0.015,0.3379,0.4037,0.4025,0.255,0.1538,0.625,0.8205,0.8497,0.5187,0.0235,0.02,0.6057,0.9871,0.5286,0.5286,0.3643,0.3643,0.0065,0.0065,0.348,0.3357,0.6587,0.6972,0.0932,0.0886,0.539,0.5513,0.4102,0.8359,0.6088,0.5791,0.7885,10.6,11.05,0.89,1.0,0.0
collaboration_niche,agent_framework,1050,1050.0,0.0076,0.8248,0.8248,0.5114,0.5114,0.0514,0.4314,0.3938,0.4352,0.2953,0.35,0.8571,0.7692,0.9083,0.5069,0.0562,0.0476,0.6181,0.9952,0.5343,0.5343,0.3133,0.3133,0.0038,0.0038,0.3647,0.3623,0.7111,0.7183,0.0994,0.0991,0.6757,0.6661,0.5813,0.8629,0.6438,0.5131,0.75,7.11,7.11,0.53,1.0,0.0
collaboration_niche,agent_runtime_infra,750,750.0,0.0013,0.8387,0.8387,0.4387,0.4387,0.0,0.3747,0.3286,0.6239,0.4482,0.0769,1.0,0.6667,0.9341,0.5887,0.0016,0.0013,0.76,0.9947,0.6587,0.6587,0.4507,0.4507,0.0053,0.0053,0.2083,0.2049,0.5624,0.5614,0.0848,0.0876,0.7348,0.725,0.6461,0.8519,0.7786,0.4831,0.6923,7.32,11.56,1.09,1.0,0.0
collaboration_niche,model_infra,1800,1800.0,0.0017,0.7917,0.7917,0.4139,0.4139,0.0067,0.3928,0.3703,0.6424,0.3969,0.0,,0.7869,0.8768,0.508,0.0014,0.0011,0.6472,0.9939,0.6683,0.6683,0.4189,0.4189,0.0061,0.0061,0.2012,0.1964,0.6907,0.6901,0.126,0.1262,0.6842,0.6774,0.6365,0.7902,0.7672,0.5795,0.7778,10.11,12.52,1.54,1.0,0.0
